273,394,1165,4516,13339,19494,27504,26887,25814,19775,10964,2984,1126,213,11,
7313,10011,16558,30094,49483,52130,56161,46469,36912,25474,12901,3280,1220,311,11,
30586,19883,18038,16959,16445,17068,17203,15599,12002,8664,5467,3208,2505,2087,2030,
